category,link,make_again,name,rating,summary
recipe,/recipes/food/views/dilled-potato-and-pickled-cucumber-salad-109778,95%,Dilled Potato and Pickled Cucumber Salad,4,The pickled cucumbers are also great on their own as a condiment for tuna-salad sandwiches.
recipe,/recipes/food/views/quick-pickled-cucumbers-108333,100%,Quick Pickled Cucumbers,3.5,"After lingonberry preserves, these pickled cucumbers are the most popular condiment in Scandinavia. They are a traditional accompaniment to Swedish Meatballs, simple salmon dishes, and roasts and other meats. They are even served with frankfurters sold at street kiosks, much like the sauerkraut that often tops the hot dogs sold here."
recipe,/recipes/food/views/cucumbers-in-yogurt-108080,100%,Cucumbers in Yogurt,3.5,"Greek yogurt, if you can find it, is incredibly thick and creamy and a delight to eat. It shows up in several guises on the Greek table — as a savory dip, in sauces, or for dessert.
Active time: 15 min Start to finish: 1 1/4 hr (includes draining)"
recipe,/recipes/food/views/crab-stuffed-cucumbers-157,92%,Crab-Stuffed Cucumbers,3,
recipe,/recipes/food/views/sesame-chicken-noodle-salad-107849,92%,Sesame Chicken Noodle Salad,3.5,Serve with: A chopped salad of plum tomatoes and cucumbers with purchased ginger dressing. Dessert: Coconut cupcakes.
recipe,/recipes/food/views/crispy-cucumber-soup-106691,33%,Crispy Cucumber Soup,1.5,"Once the soup is processed, the addition of extra yogurt adds a creamy texture. The diced cucumber and radishes add a crunchy texture. If hothouse cucumbers are not available, substitute the firm garden variety and double the amount called for. Peel cucumbers and halve lengthwise, then seed."
recipe,/recipes/food/views/tomato-salad-with-cucumbers-arugula-and-sardines-106465,25%,"Tomato Salad with Cucumbers, Arugula, and Sardines",2.5,Serve with crusty bread to sop up the juices.
recipe,/recipes/food/views/vinegared-cucumber-salad-15265,67%,Vinegared Cucumber Salad,2.5,"Japanese cucumbers are small, virtually seedless, and quite crunchy. Young English cucumbers make a good alternative.
This recipe can be prepared in 45 minutes or less."
recipe,/recipes/food/views/pickled-cucumbers-14045,100%,Pickled Cucumbers,3.5,"This recipe was created to accompany Grilled Swedish Meatball Kebabs
Can be prepared in 45 minutes or less, but requires additional unattended time."
recipe,/recipes/food/views/sliced-tomatoes-and-cucumbers-12670,64%,Sliced Tomatoes and Cucumbers,2.5,Can be prepared in 45 minutes or less.
recipe,/recipes/food/views/central-asian-rice-and-bean-stew-15774,83%,Central Asian Rice and Bean Stew,3.5,"The word mash means mung bean in Farsi and Farsi-related languages like Azeri and Tajik, as well as in Turkic languages such as Uzbek and Uighur. The word kichiri is like the Hindi word kitchri, a name for rice dishes made by cooking rice together with other ingredients. (The British took the idea and the name and turned it into ""kedgeree."")
We like this satisfying meal-in-one stew we learned in Tajikistan. Potatoes, carrots, and tomatoes give variety of taste and texture to the main event, a spiced combination of mung beans (yellow dal) and long-grain rice. Mashkichiri is quick and easy to prepare once the mung beans have soaked, and all too easy to eat in large quantities when accompanied by plenty of yogurt. Serve it as a simple meal in one, or serve with kebabs and a side dish of something crunchy, like sliced cucumbers or radishes, or Persian pickled radish.
The winter version of this dish would have no tomatoes, and would use more carrots and onions instead. Winters in Central Asia are harsh, and there are few fresh vegetables to be had. Root vegetables, which can be stored and used when other vegetables are available, aren't an important part of the winter diet."
